Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,group,n_genes,organism,pathway_db,input_genes,p_adj_global
Reactome_2022,NOD1/2 Signaling Pathway R-HSA-168638,1/33,0.152569319997184,0.280397669184014,0,0,6.271464646464646,11.79120788980768,CASP1,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.5017043133188699
Reactome_2022,Detoxification Of Reactive Oxygen Species R-HSA-3299685,1/34,0.1568134700259566,0.2851154000471938,0,0,6.081114172023263,11.266469699963473,CYBA,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.5021462516855832
Reactome_2022,CD28 Co-Stimulation R-HSA-389356,1/34,0.1568134700259566,0.2851154000471938,0,0,6.081114172023263,11.266469699963473,LYN,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.5021462516855832
Reactome_2022,Beta-catenin Independent WNT Signaling R-HSA-3858494,2/142,0.1586628248567463,0.2869434066558177,0,0,2.880466472303207,5.302863672530919,AP2S1;PFN1,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.5025311870098573
Reactome_2022,Negative Regulators Of DDX58/IFIH1 Signaling R-HSA-936440,1/35,0.1610365757741949,0.2895936690349731,0,0,5.901960784313726,10.777710825180796,ISG15,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.5040557057610484
Reactome_2022,SMAD2/SMAD3:SMAD4 Heterotrimer Regulates Transcription R-HSA-2173796,1/36,0.165238740567014,0.2895936690349731,0,0,5.733044733044733,10.321566994169176,YBX1,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.5040557057610484
Reactome_2022,HSF1-dependent Transactivation R-HSA-3371571,1/36,0.165238740567014,0.2895936690349731,0,0,5.733044733044733,10.321566994169176,HSBP1,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.5040557057610484
Reactome_2022,Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202,4/424,0.1629054356293059,0.2895936690349731,0,0,1.9325396825396823,3.5067582852056,LYN;FKBP1A;CEBPB;RHOG,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.5040557057610484
Reactome_2022,Aberrant Regulation Of Mitotic Cell Cycle Due To RB1 Defects R-HSA-9687139,1/36,0.165238740567014,0.2895936690349731,0,0,5.733044733044733,10.321566994169176,CDKN1C,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.5040557057610484
Reactome_2022,ROS And RNS Production In Phagocytes R-HSA-1222556,1/36,0.165238740567014,0.2895936690349731,0,0,5.733044733044733,10.321566994169176,CYBA,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.5040557057610484
KEGG_2021_Human,Pentose phosphate pathway,1/30,0.1397095639188418,0.2913942333164416,0,0,6.921281783350749,13.622394510819325,TKT,5,100,human,KEGG_2021_Human,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.5046780791459972
Reactome_2022,Mitotic G1 Phase And G1/S Transition R-HSA-453279,2/147,0.1674678305136682,0.2919951916648574,0,0,2.780436312456017,4.968539602428729,LYN;CDKN1C,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.5046780791459972
Reactome_2022,FLT3 Signaling R-HSA-9607240,1/37,0.1694200671801256,0.2924001159453945,0,0,5.57351290684624,9.895070145641316,HCK,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.5046780791459972
Reactome_2022,Defective B3GALTL Causes PpS R-HSA-5083635,1/37,0.1694200671801256,0.2924001159453945,0,0,5.57351290684624,9.895070145641316,CFP,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.5046780791459972
KEGG_2021_Human,Vascular smooth muscle contraction,2/133,0.1430547538373086,0.2941689304260149,0,0,3.07976320299112,5.988685251990531,MYL6;CALM2,5,100,human,KEGG_2021_Human,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.5046780791459972
